Time,Jan,Apr,Jul,Oct
0:00,27.2524,31.88,32.6204,33.4026
0:30,24.1422,24.5562,32.3522,31.3894
1:00,23.6762,23.6822,30.6486,30.7878
1:30,23.5332,23.6122,29.3522,30.7824
2:00,23.1908,24.0138,28.3772,30.7208
2:30,22.8458,24.3122,27.9734,30.7646
3:00,21.5272,24.3512,27.5466,30.872
3:30,21.4858,24.5022,27.5848,30.727
4:00,21.1346,24.3864,27.4512,30.911
4:30,21.659,24.8542,27.6474,31.29
5:00,21.629,25.0496,27.5018,32.5686
5:30,22.2426,25.3112,28.2372,33.898
6:00,23.0214,25.8458,29.2428,35.0868
6:30,23.6162,27.2748,30.3898,36.8462
7:00,24.4056,28.7026,31.7426,37.477
7:30,25.6144,30.495,33.7266,38.1316
8:00,26.1064,31.3128,35.899,38.7032
8:30,25.9422,31.594,38.1952,36.8778
9:00,26.9154,33.019,39.3604,35.1142
9:30,28.0622,33.1708,40.2698,33.2678
10:00,28.3408,33.1714,39.013,31.0278
10:30,27.4808,32.582,37.0562,28.9704
11:00,26.7798,32.7634,36.5132,28.7514
11:30,26.2212,30.392,34.9814,28.6222
12:00,25.5034,30.0432,34.231,27.6756
12:30,24.1424,28.8758,34.3946,26.822
13:00,23.1392,27.6856,33.8898,26.2232
13:30,22.82,26.2694,34.008,25.7094
14:00,22.89,26.8378,32.7852,26.1028
14:30,23.5284,26.9964,32.294,27.0604
15:00,24.5118,27.6398,34.5078,28.2058
15:30,25.108,27.9024,35.5726,30.3302
16:00,26.6642,28.8228,37.8584,32.8686
16:30,28.9482,31.1682,40.8262,35.8342
17:00,31.478,34.2842,44.178,38.7804
17:30,33.1268,37.9746,48.0364,41.4004
18:00,34.1372,41.5124,50.6518,43.1878
18:30,34.9544,43.5008,50.3946,44.7642
19:00,35.1462,44.0308,49.7986,46.4642
19:30,35.1996,43.668,48.8238,47.3682
20:00,35.1566,42.7198,47.6198,46.7596
20:30,35.3306,42.3624,46.1804,46.332
21:00,34.8022,40.6906,44.7032,43.5674
21:30,33.672,39.302,42.6408,41.1682
22:00,32.349,38.3912,40.7544,38.9858
22:30,30.993,36.6266,38.362,37.3362
23:00,29.5862,34.9226,36.0668,35.9696
23:30,28.7216,33.4638,34.1346,34.5018
