Time,Jan,Apr,Jul,Oct
0:00,25.1476,27.2818,31.7602,35.3034
0:30,24.363,25.9882,29.0664,35.73
1:00,23.6862,24.8964,28.4156,34.8384
1:30,23.3936,24.593,27.5578,34.2746
2:00,23.5698,24.2132,26.9494,34.389
2:30,24.0236,23.942,26.806,33.7644
3:00,24.1126,23.909,26.8182,34.1404
3:30,24.2188,23.8834,26.953,34.8144
4:00,24.4542,23.821,27.0676,35.202
4:30,25.2856,23.5962,27.5686,36.5312
5:00,25.9246,23.2934,28.0588,37.6994
5:30,26.985,23.7398,29.4018,39.303
6:00,28.7908,24.372,31.3094,41.7212
6:30,31.2052,25.636,34.2636,44.3754
7:00,32.4466,27.1722,38.3838,45.0874
7:30,33.2592,28.9908,43.2742,45.3226
8:00,34.388,30.429,45.3552,44.4042
8:30,34.3336,32.0478,47.3988,42.6282
9:00,35.6526,33.4656,48.0982,40.4218
9:30,34.4096,34.2302,46.3522,38.2812
10:00,33.5138,34.8358,43.9272,34.9328
10:30,33.1784,35.2712,40.459,33.664
11:00,31.7326,33.7744,37.5122,31.084
11:30,31.663,32.6244,37.5396,30.7306
12:00,30.7272,30.0448,37.1506,27.4124
12:30,28.61,29.9906,36.7862,27.781
13:00,28.5648,27.837,34.7288,25.728
13:30,28.433,26.2848,35.605,24.9138
14:00,28.9404,27.6848,35.506,25.4096
14:30,29.6984,28.8134,36.4946,26.358
15:00,29.558,30.1112,38.3906,25.0664
15:30,27.076,30.533,39.1304,26.7882
16:00,27.5156,30.7752,38.3642,29.3242
16:30,29.3016,32.4794,38.076,32.5584
17:00,31.498,34.012,41.6316,36.166
17:30,32.2878,35.3482,45.4078,39.0176
18:00,33.1074,36.5626,47.5306,42.0054
18:30,33.3226,37.283,47.067,44.424
19:00,32.9088,36.7408,46.0728,46.7596
19:30,32.7808,35.3878,45.327,47.7878
20:00,32.893,35.0914,44.2464,47.5616
20:30,33.015,34.0874,43.2054,47.1606
21:00,32.0844,32.9732,42.5426,45.8556
21:30,31.13,31.6514,40.9092,43.9236
22:00,29.7268,30.6956,38.8376,41.7856
22:30,28.6748,29.8142,37.0268,40.0518
23:00,27.4462,29.4688,34.9082,38.4506
23:30,26.5948,28.3336,32.9412,36.8926
