year,cumulative_npv_aud
0,310829090.90909094
1,334773794.4663395
2,356944816.2786068
3,377473540.1788542
4,396481617.86426854
5,414081689.7952077
6,430378052.69422543
7,445467277.6007233
8,459438782.14377695
9,472375360.42438215
10,484353673.6471647
11,495444704.4090004
12,505714177.33662605
13,515222948.5659091
14,524027366.3708008
15,532179605.07903385
16,539727974.2533237
17,546717204.9702587
18,553188714.8933467
19,559180853.7110207
20,577087107.1405259
21,582224400.3655552
22,586981153.3516933
23,591385554.2647842
24,595463703.2583869
25,599239767.1413523
