year,cumulative_npv_aud
0,310829090.90909094
1,332027001.0172997
2,351654695.56193745
3,369828486.8069724
4,386656071.29311585
5,402237168.039545
6,416664109.47142386
7,430022388.57501537
8,442391165.5227853
9,453843736.7707204
10,464447969.4076974
11,474266703.3308242
12,483358123.6300157
13,491776105.3885263
14,499570532.94270283
15,506787595.4928663
16,513470060.8170917
17,519657528.709893
18,525386665.64767194
19,530691422.07154137
20,547961210.3215978
21,552509183.9360263
22,556720270.6160527
23,560619424.9494106
24,564229753.0358529
25,567572649.4121884
