year,cumulative_npv_aud
0,310829090.90909094
1,331500937.7102913
2,350641536.60029167
3,368364313.350292
4,384774291.82251453
5,399968716.33383167
6,414037627.9183846
7,427064397.90408176
8,439126221.9649125
9,450294577.5767927
10,460635647.587793
11,470210712.4127932
12,479076513.1766823
13,487285587.9580611
14,494886583.1260044
15,501924541.6148408
16,508441169.8452449
17,514475084.8733968
18,520062043.2327967
19,525235152.8248337
20,542383045.8602304
21,546818153.5351592
22,550924734.7156489
23,554727124.6975838
24,558247856.1623383
25,561507792.7037776
